ad_id,xyz_campaign_id,fb_campaign_id,age,gender,interest,banner_position,coord_norm
710360,916,104185,45-49,M,21,top,"(37,12)"
710480,916,104205,30-34,F,16,top,"(61,11)"
710480,916,104205,30-34,F,16,top,"(42,13)"
710480,916,104205,30-34,F,16,top,"(52,13)"
710480,916,104205,30-34,F,16,top,"(33,12)"
710480,916,104205,30-34,F,16,top,"(49,10)"
710480,916,104205,30-34,F,16,top,"(38,11)"
710480,916,104205,30-34,F,16,top,"(48,13)"
710480,916,104205,30-34,F,16,top,"(45,14)"
710480,916,104205,30-34,F,16,top,"(48,11)"
710480,916,104205,30-34,F,16,top,"(51,15)"
710480,916,104205,30-34,F,16,top,"(43,11)"
710480,916,104205,30-34,F,16,top,"(39,13)"
710480,916,104205,30-34,F,16,top,"(63,12)"
710480,916,104205,30-34,F,16,top,"(47,14)"
710571,916,104220,30-34,F,32,top,"(46,12)"
710617,916,104228,30-34,F,15,top,"(36,13)"
710623,916,104229,30-34,F,16,top,"(52,12)"
710623,916,104229,30-34,F,16,top,"(71,11)"
710623,916,104229,30-34,F,16,top,"(46,14)"
710623,916,104229,30-34,F,16,top,"(45,10)"
710623,916,104229,30-34,F,16,top,"(55,14)"
710623,916,104229,30-34,F,16,top,"(54,12)"
710623,916,104229,30-34,F,16,top,"(34,14)"
710763,916,104252,30-34,F,15,top,"(35,9)"
710836,916,104265,30-34,F,29,top,"(48,10)"
710836,916,104265,30-34,F,29,top,"(38,13)"
710836,916,104265,30-34,F,29,top,"(42,14)"
710836,916,104265,30-34,F,29,top,"(54,14)"
710836,916,104265,30-34,F,29,top,"(45,12)"
710836,916,104265,30-34,F,29,top,"(56,13)"
710836,916,104265,30-34,F,29,top,"(49,11)"
710880,916,104272,30-34,F,65,top,"(30,12)"
710880,916,104272,30-34,F,65,top,"(51,10)"
710880,916,104272,30-34,F,65,top,"(49,12)"
710880,916,104272,30-34,F,65,top,"(41,10)"
710880,916,104272,30-34,F,65,top,"(54,11)"
710961,916,104285,35-39,F,25,top,"(60,11)"
710968,916,104287,35-39,F,27,top,"(53,11)"
710968,916,104287,35-39,F,27,top,"(47,11)"
711217,916,104328,35-39,F,20,top,"(38,10)"
711623,916,104396,40-44,F,15,top,"(59,14)"
711764,916,104419,45-49,F,10,top,"(56,11)"
711764,916,104419,45-49,F,10,top,"(65,14)"
711764,916,104419,45-49,F,10,top,"(33,10)"
711764,916,104419,45-49,F,10,top,"(46,11)"
711877,916,104438,45-49,F,63,top,"(51,10)"
711877,916,104438,45-49,F,63,top,"(35,12)"
711877,916,104438,45-49,F,63,top,"(53,10)"
711877,916,104438,45-49,F,63,top,"(46,10)"
711877,916,104438,45-49,F,63,top,"(55,14)"
711877,916,104438,45-49,F,63,top,"(64,11)"
711877,916,104438,45-49,F,63,top,"(54,10)"
734210,936,108654,30-34,M,10,top,"(35,11)"
734210,936,108654,30-34,M,10,top,"(38,13)"
734210,936,108654,30-34,M,10,top,"(64,11)"
734210,936,108654,30-34,M,10,top,"(54,13)"
734215,936,108655,30-34,M,15,top,"(51,10)"
734215,936,108655,30-34,M,15,top,"(59,12)"
734215,936,108655,30-34,M,15,top,"(46,12)"
734290,936,108668,30-34,M,29,top,"(44,13)"
734352,936,108678,35-39,M,10,top,"(49,12)"
734361,936,108680,35-39,M,16,top,"(56,10)"
734361,936,108680,35-39,M,16,top,"(53,9)"
734381,936,108683,35-39,M,20,top,"(47,13)"
734421,936,108690,35-39,M,27,top,"(59,15)"
734421,936,108690,35-39,M,27,top,"(44,13)"
734421,936,108690,35-39,M,27,top,"(55,10)"
734421,936,108690,35-39,M,27,top,"(43,15)"
734427,936,108691,35-39,M,28,top,"(51,10)"
734427,936,108691,35-39,M,28,top,"(43,11)"
734427,936,108691,35-39,M,28,top,"(44,11)"
734433,936,108692,35-39,M,29,top,"(55,13)"
734433,936,108692,35-39,M,29,top,"(63,9)"
734433,936,108692,35-39,M,29,top,"(51,9)"
734582,936,108716,40-44,M,29,top,"(41,10)"
734582,936,108716,40-44,M,29,top,"(38,10)"
734726,936,108740,45-49,M,29,top,"(57,13)"
734726,936,108740,45-49,M,29,top,"(51,11)"
734726,936,108740,45-49,M,29,top,"(45,10)"
734785,936,108750,30-34,F,10,top,"(46,11)"
734796,936,108752,30-34,F,16,top,"(39,12)"
734796,936,108752,30-34,F,16,top,"(29,12)"
734796,936,108752,30-34,F,16,top,"(32,12)"
734796,936,108752,30-34,F,16,top,"(34,15)"
734796,936,108752,30-34,F,16,top,"(50,10)"
734796,936,108752,30-34,F,16,top,"(57,11)"
734796,936,108752,30-34,F,16,top,"(27,12)"
734852,936,108761,30-34,F,26,top,"(29,12)"
734852,936,108761,30-34,F,26,top,"(43,12)"
734852,936,108761,30-34,F,26,top,"(44,15)"
734854,936,108762,30-34,F,27,top,"(34,13)"
734854,936,108762,30-34,F,27,top,"(59,10)"
734854,936,108762,30-34,F,27,top,"(49,11)"
734854,936,108762,30-34,F,27,top,"(43,9)"
734854,936,108762,30-34,F,27,top,"(41,13)"
734854,936,108762,30-34,F,27,top,"(46,15)"
734854,936,108762,30-34,F,27,top,"(55,14)"
734854,936,108762,30-34,F,27,top,"(49,12)"
734854,936,108762,30-34,F,27,top,"(48,15)"
734854,936,108762,30-34,F,27,top,"(46,10)"
734854,936,108762,30-34,F,27,top,"(37,11)"
734854,936,108762,30-34,F,27,top,"(45,14)"
734854,936,108762,30-34,F,27,top,"(48,12)"
734856,936,108762,30-34,F,27,top,"(53,11)"
734866,936,108764,30-34,F,29,top,"(50,13)"
734866,936,108764,30-34,F,29,top,"(54,11)"
734866,936,108764,30-34,F,29,top,"(58,15)"
734881,936,108766,30-34,F,31,top,"(36,14)"
734903,936,108770,30-34,F,64,top,"(36,13)"
734925,936,108774,35-39,F,10,top,"(58,10)"
734939,936,108776,35-39,F,16,top,"(35,13)"
734939,936,108776,35-39,F,16,top,"(43,10)"
734939,936,108776,35-39,F,16,top,"(63,15)"
734939,936,108776,35-39,F,16,top,"(26,11)"
734939,936,108776,35-39,F,16,top,"(51,11)"
734939,936,108776,35-39,F,16,top,"(60,10)"
734939,936,108776,35-39,F,16,top,"(49,10)"
734939,936,108776,35-39,F,16,top,"(50,14)"
734939,936,108776,35-39,F,16,top,"(48,14)"
734939,936,108776,35-39,F,16,top,"(55,11)"
734939,936,108776,35-39,F,16,top,"(51,15)"
734939,936,108776,35-39,F,16,top,"(52,11)"
734939,936,108776,35-39,F,16,top,"(60,12)"
734939,936,108776,35-39,F,16,top,"(71,11)"
734939,936,108776,35-39,F,16,top,"(45,13)"
734939,936,108776,35-39,F,16,top,"(46,13)"
734939,936,108776,35-39,F,16,top,"(62,13)"
734939,936,108776,35-39,F,16,top,"(46,12)"
734939,936,108776,35-39,F,16,top,"(41,12)"
734939,936,108776,35-39,F,16,top,"(46,13)"
734939,936,108776,35-39,F,16,top,"(61,15)"
734939,936,108776,35-39,F,16,top,"(44,14)"
734939,936,108776,35-39,F,16,top,"(46,10)"
734939,936,108776,35-39,F,16,top,"(49,12)"
734968,936,108781,35-39,F,22,top,"(33,13)"
734968,936,108781,35-39,F,22,top,"(35,13)"
734968,936,108781,35-39,F,22,top,"(57,8)"
734999,936,108786,35-39,F,27,top,"(38,10)"
734999,936,108786,35-39,F,27,top,"(53,14)"
734999,936,108786,35-39,F,27,top,"(49,12)"
734999,936,108786,35-39,F,27,top,"(35,11)"
734999,936,108786,35-39,F,27,top,"(51,14)"
734999,936,108786,35-39,F,27,top,"(51,12)"
735014,936,108788,35-39,F,29,top,"(57,13)"
735014,936,108788,35-39,F,29,top,"(61,11)"
735014,936,108788,35-39,F,29,top,"(53,10)"
735014,936,108788,35-39,F,29,top,"(59,8)"
735140,936,108809,40-44,F,26,top,"(51,13)"
735140,936,108809,40-44,F,26,top,"(42,12)"
735143,936,108810,40-44,F,27,top,"(49,10)"
735143,936,108810,40-44,F,27,top,"(47,11)"
735143,936,108810,40-44,F,27,top,"(52,10)"
735143,936,108810,40-44,F,27,top,"(46,15)"
735143,936,108810,40-44,F,27,top,"(46,13)"
735143,936,108810,40-44,F,27,top,"(64,9)"
735143,936,108810,40-44,F,27,top,"(54,12)"
735143,936,108810,40-44,F,27,top,"(64,11)"
735143,936,108810,40-44,F,27,top,"(54,12)"
735143,936,108810,40-44,F,27,top,"(56,11)"
735143,936,108810,40-44,F,27,top,"(41,10)"
735143,936,108810,40-44,F,27,top,"(62,10)"
735143,936,108810,40-44,F,27,top,"(41,13)"
735184,936,108817,40-44,F,63,top,"(54,15)"
735189,936,108818,40-44,F,64,top,"(48,13)"
735189,936,108818,40-44,F,64,top,"(46,14)"
735189,936,108818,40-44,F,64,top,"(56,13)"
735213,936,108822,45-49,F,10,top,"(41,12)"
735213,936,108822,45-49,F,10,top,"(35,15)"
735213,936,108822,45-49,F,10,top,"(43,11)"
735213,936,108822,45-49,F,10,top,"(33,11)"
735213,936,108822,45-49,F,10,top,"(34,13)"
735213,936,108822,45-49,F,10,top,"(53,13)"
735213,936,108822,45-49,F,10,top,"(38,13)"
735213,936,108822,45-49,F,10,top,"(43,13)"
735213,936,108822,45-49,F,10,top,"(36,13)"
735213,936,108822,45-49,F,10,top,"(49,11)"
735213,936,108822,45-49,F,10,top,"(58,10)"
735213,936,108822,45-49,F,10,top,"(51,12)"
735213,936,108822,45-49,F,10,top,"(45,11)"
735213,936,108822,45-49,F,10,top,"(57,14)"
735213,936,108822,45-49,F,10,top,"(56,14)"
735213,936,108822,45-49,F,10,top,"(44,15)"
735213,936,108822,45-49,F,10,top,"(41,11)"
735213,936,108822,45-49,F,10,top,"(60,11)"
735213,936,108822,45-49,F,10,top,"(32,13)"
735213,936,108822,45-49,F,10,top,"(70,9)"
735213,936,108822,45-49,F,10,top,"(48,14)"
735213,936,108822,45-49,F,10,top,"(47,15)"
735213,936,108822,45-49,F,10,top,"(44,13)"
735220,936,108823,45-49,F,15,top,"(50,12)"
735220,936,108823,45-49,F,15,top,"(48,13)"
735220,936,108823,45-49,F,15,top,"(53,12)"
735220,936,108823,45-49,F,15,top,"(67,15)"
735220,936,108823,45-49,F,15,top,"(68,12)"
735220,936,108823,45-49,F,15,top,"(48,14)"
735220,936,108823,45-49,F,15,top,"(50,10)"
735220,936,108823,45-49,F,15,top,"(48,11)"
735220,936,108823,45-49,F,15,top,"(39,14)"
735220,936,108823,45-49,F,15,top,"(56,10)"
735220,936,108823,45-49,F,15,top,"(54,11)"
735220,936,108823,45-49,F,15,top,"(56,13)"
735220,936,108823,45-49,F,15,top,"(50,12)"
735220,936,108823,45-49,F,15,top,"(50,15)"
735220,936,108823,45-49,F,15,top,"(69,11)"
735220,936,108823,45-49,F,15,top,"(44,12)"
735220,936,108823,45-49,F,15,top,"(53,13)"
735220,936,108823,45-49,F,15,top,"(32,10)"
735220,936,108823,45-49,F,15,top,"(56,17)"
735220,936,108823,45-49,F,15,top,"(72,10)"
735247,936,108827,45-49,F,20,top,"(37,13)"
735247,936,108827,45-49,F,20,top,"(40,12)"
735247,936,108827,45-49,F,20,top,"(62,11)"
735247,936,108827,45-49,F,20,top,"(49,15)"
735247,936,108827,45-49,F,20,top,"(37,10)"
735247,936,108827,45-49,F,20,top,"(45,12)"
735289,936,108834,45-49,F,27,top,"(51,12)"
735289,936,108834,45-49,F,27,top,"(53,11)"
735289,936,108834,45-49,F,27,top,"(48,8)"
735289,936,108834,45-49,F,27,top,"(38,14)"
735289,936,108834,45-49,F,27,top,"(50,12)"
735290,936,108834,45-49,F,27,top,"(62,15)"
735290,936,108834,45-49,F,27,top,"(53,12)"
735290,936,108834,45-49,F,27,top,"(36,13)"
735290,936,108834,45-49,F,27,top,"(55,15)"
735298,936,108836,45-49,F,29,top,"(38,15)"
735298,936,108836,45-49,F,29,top,"(37,15)"
735298,936,108836,45-49,F,29,top,"(38,11)"
735298,936,108836,45-49,F,29,top,"(41,13)"
735298,936,108836,45-49,F,29,top,"(45,12)"
735298,936,108836,45-49,F,29,top,"(55,11)"
735298,936,108836,45-49,F,29,top,"(54,15)"
735298,936,108836,45-49,F,29,top,"(52,13)"
735298,936,108836,45-49,F,29,top,"(38,12)"
735298,936,108836,45-49,F,29,top,"(30,11)"
735298,936,108836,45-49,F,29,top,"(47,13)"
735298,936,108836,45-49,F,29,top,"(46,10)"
735298,936,108836,45-49,F,29,top,"(63,10)"
735298,936,108836,45-49,F,29,top,"(53,10)"
735298,936,108836,45-49,F,29,top,"(33,11)"
735298,936,108836,45-49,F,29,top,"(52,12)"
735298,936,108836,45-49,F,29,top,"(53,10)"
735298,936,108836,45-49,F,29,top,"(58,13)"
735298,936,108836,45-49,F,29,top,"(55,12)"
735298,936,108836,45-49,F,29,top,"(50,11)"
735298,936,108836,45-49,F,29,top,"(43,15)"
735298,936,108836,45-49,F,29,top,"(48,17)"
735298,936,108836,45-49,F,29,top,"(43,13)"
735298,936,108836,45-49,F,29,top,"(40,17)"
735298,936,108836,45-49,F,29,top,"(35,14)"
735298,936,108836,45-49,F,29,top,"(52,14)"
735298,936,108836,45-49,F,29,top,"(45,15)"
735298,936,108836,45-49,F,29,top,"(42,12)"
736869,936,109448,30-34,M,2,top,"(60,10)"
736988,936,109472,30-34,M,28,top,"(54,12)"
737130,936,109507,35-39,M,16,top,"(45,10)"
737130,936,109507,35-39,M,16,top,"(50,13)"
737320,936,109553,35-39,M,63,top,"(34,11)"
737320,936,109553,35-39,M,63,top,"(30,10)"
737524,936,109601,40-44,M,30,top,"(68,13)"
737644,936,109629,45-49,M,16,top,"(50,11)"
737644,936,109629,45-49,M,16,top,"(54,10)"
737644,936,109629,45-49,M,16,top,"(58,15)"
737644,936,109629,45-49,M,16,top,"(60,15)"
737644,936,109629,45-49,M,16,top,"(37,10)"
737644,936,109629,45-49,M,16,top,"(41,11)"
737644,936,109629,45-49,M,16,top,"(58,10)"
737644,936,109629,45-49,M,16,top,"(68,12)"
737644,936,109629,45-49,M,16,top,"(49,13)"
737644,936,109629,45-49,M,16,top,"(64,14)"
737657,936,109633,45-49,M,18,top,"(44,14)"
737657,936,109633,45-49,M,18,top,"(58,11)"
737658,936,109633,45-49,M,18,top,"(48,15)"
737896,936,109689,30-34,F,16,top,"(39,10)"
737896,936,109689,30-34,F,16,top,"(38,13)"
737896,936,109689,30-34,F,16,top,"(47,10)"
737931,936,109698,30-34,F,20,top,"(30,10)"
738006,936,109717,30-34,F,27,top,"(34,11)"
738006,936,109717,30-34,F,27,top,"(46,10)"
738006,936,109717,30-34,F,27,top,"(30,16)"
738006,936,109717,30-34,F,27,top,"(47,10)"
738006,936,109717,30-34,F,27,top,"(60,11)"
738006,936,109717,30-34,F,27,top,"(70,12)"
738006,936,109717,30-34,F,27,top,"(37,12)"
738307,936,109788,35-39,F,31,top,"(35,13)"
738389,936,109808,40-44,F,10,top,"(57,14)"
738389,936,109808,40-44,F,10,top,"(39,10)"
738389,936,109808,40-44,F,10,top,"(40,13)"
738389,936,109808,40-44,F,10,top,"(56,11)"
738389,936,109808,40-44,F,10,top,"(45,13)"
738389,936,109808,40-44,F,10,top,"(37,15)"
738389,936,109808,40-44,F,10,top,"(35,13)"
738389,936,109808,40-44,F,10,top,"(60,13)"
738389,936,109808,40-44,F,10,top,"(45,10)"
738408,936,109813,40-44,F,16,top,"(61,10)"
738408,936,109813,40-44,F,16,top,"(58,10)"
738408,936,109813,40-44,F,16,top,"(43,14)"
738408,936,109813,40-44,F,16,top,"(52,16)"
738413,936,109813,40-44,F,16,top,"(39,15)"
738413,936,109813,40-44,F,16,top,"(66,10)"
738413,936,109813,40-44,F,16,top,"(40,13)"
738413,936,109813,40-44,F,16,top,"(52,10)"
738413,936,109813,40-44,F,16,top,"(59,16)"
738413,936,109813,40-44,F,16,top,"(47,11)"
738413,936,109813,40-44,F,16,top,"(48,10)"
738413,936,109813,40-44,F,16,top,"(61,14)"
738413,936,109813,40-44,F,16,top,"(55,10)"
738413,936,109813,40-44,F,16,top,"(48,9)"
738413,936,109813,40-44,F,16,top,"(63,13)"
738413,936,109813,40-44,F,16,top,"(41,17)"
738413,936,109813,40-44,F,16,top,"(63,10)"
738413,936,109813,40-44,F,16,top,"(49,8)"
738413,936,109813,40-44,F,16,top,"(63,14)"
738413,936,109813,40-44,F,16,top,"(53,11)"
738413,936,109813,40-44,F,16,top,"(54,12)"
738413,936,109813,40-44,F,16,top,"(35,11)"
738413,936,109813,40-44,F,16,top,"(49,11)"
738413,936,109813,40-44,F,16,top,"(52,12)"
738413,936,109813,40-44,F,16,top,"(57,11)"
738413,936,109813,40-44,F,16,top,"(69,13)"
738413,936,109813,40-44,F,16,top,"(42,10)"
738413,936,109813,40-44,F,16,top,"(39,11)"
738413,936,109813,40-44,F,16,top,"(49,13)"
738413,936,109813,40-44,F,16,top,"(49,13)"
738413,936,109813,40-44,F,16,top,"(38,15)"
738413,936,109813,40-44,F,16,top,"(35,14)"
738413,936,109813,40-44,F,16,top,"(58,14)"
738413,936,109813,40-44,F,16,top,"(45,15)"
738413,936,109813,40-44,F,16,top,"(48,12)"
738413,936,109813,40-44,F,16,top,"(45,11)"
738413,936,109813,40-44,F,16,top,"(45,13)"
738413,936,109813,40-44,F,16,top,"(46,12)"
738413,936,109813,40-44,F,16,top,"(40,13)"
738413,936,109813,40-44,F,16,top,"(53,13)"
738423,936,109816,40-44,F,18,top,"(59,12)"
738423,936,109816,40-44,F,18,top,"(42,14)"
738423,936,109816,40-44,F,18,top,"(59,12)"
738423,936,109816,40-44,F,18,top,"(48,14)"
738423,936,109816,40-44,F,18,top,"(62,11)"
738423,936,109816,40-44,F,18,top,"(62,12)"
738423,936,109816,40-44,F,18,top,"(48,12)"
738436,936,109820,40-44,F,19,top,"(56,11)"
738436,936,109820,40-44,F,19,top,"(62,13)"
738436,936,109820,40-44,F,19,top,"(56,15)"
738436,936,109820,40-44,F,19,top,"(45,17)"
738582,936,109848,45-49,F,10,top,"(52,16)"
738582,936,109848,45-49,F,10,top,"(47,10)"
738582,936,109848,45-49,F,10,top,"(39,11)"
738582,936,109848,45-49,F,10,top,"(48,13)"
738582,936,109848,45-49,F,10,top,"(58,10)"
738582,936,109848,45-49,F,10,top,"(59,14)"
738582,936,109848,45-49,F,10,top,"(53,10)"
738582,936,109848,45-49,F,10,top,"(51,11)"
738582,936,109848,45-49,F,10,top,"(41,13)"
738582,936,109848,45-49,F,10,top,"(56,15)"
738582,936,109848,45-49,F,10,top,"(47,14)"
738582,936,109848,45-49,F,10,top,"(49,12)"
738582,936,109848,45-49,F,10,top,"(34,14)"
738582,936,109848,45-49,F,10,top,"(57,13)"
738582,936,109848,45-49,F,10,top,"(34,12)"
738592,936,109850,45-49,F,16,top,"(55,12)"
738592,936,109850,45-49,F,16,top,"(48,12)"
738592,936,109850,45-49,F,16,top,"(51,16)"
738592,936,109850,45-49,F,16,top,"(44,16)"
738592,936,109850,45-49,F,16,top,"(65,14)"
738592,936,109850,45-49,F,16,top,"(59,15)"
738592,936,109850,45-49,F,16,top,"(64,13)"
738592,936,109850,45-49,F,16,top,"(42,10)"
738592,936,109850,45-49,F,16,top,"(44,12)"
738592,936,109850,45-49,F,16,top,"(56,13)"
738592,936,109850,45-49,F,16,top,"(67,15)"
738592,936,109850,45-49,F,16,top,"(52,10)"
738592,936,109850,45-49,F,16,top,"(53,12)"
738592,936,109850,45-49,F,16,top,"(31,15)"
738592,936,109850,45-49,F,16,top,"(43,10)"
738592,936,109850,45-49,F,16,top,"(46,11)"
738592,936,109850,45-49,F,16,top,"(36,13)"
738592,936,109850,45-49,F,16,top,"(41,9)"
738592,936,109850,45-49,F,16,top,"(53,12)"
738592,936,109850,45-49,F,16,top,"(41,12)"
738592,936,109850,45-49,F,16,top,"(49,14)"
738592,936,109850,45-49,F,16,top,"(51,12)"
738592,936,109850,45-49,F,16,top,"(36,10)"
738592,936,109850,45-49,F,16,top,"(55,10)"
738592,936,109850,45-49,F,16,top,"(63,9)"
738592,936,109850,45-49,F,16,top,"(74,12)"
738592,936,109850,45-49,F,16,top,"(53,11)"
738592,936,109850,45-49,F,16,top,"(52,14)"
738592,936,109850,45-49,F,16,top,"(55,11)"
738592,936,109850,45-49,F,16,top,"(68,12)"
738592,936,109850,45-49,F,16,top,"(43,12)"
738592,936,109850,45-49,F,16,top,"(42,12)"
738592,936,109850,45-49,F,16,top,"(29,13)"
738592,936,109850,45-49,F,16,top,"(47,12)"
738592,936,109850,45-49,F,16,top,"(60,14)"
738592,936,109850,45-49,F,16,top,"(38,12)"
738592,936,109850,45-49,F,16,top,"(35,11)"
738592,936,109850,45-49,F,16,top,"(53,13)"
738592,936,109850,45-49,F,16,top,"(34,9)"
738592,936,109850,45-49,F,16,top,"(54,10)"
738592,936,109850,45-49,F,16,top,"(67,13)"
738592,936,109850,45-49,F,16,top,"(39,10)"
738592,936,109850,45-49,F,16,top,"(32,11)"
738592,936,109850,45-49,F,16,top,"(34,10)"
738592,936,109850,45-49,F,16,top,"(54,10)"
738592,936,109850,45-49,F,16,top,"(57,11)"
738592,936,109850,45-49,F,16,top,"(56,10)"
738592,936,109850,45-49,F,16,top,"(31,10)"
738592,936,109850,45-49,F,16,top,"(46,12)"
738592,936,109850,45-49,F,16,top,"(32,15)"
738592,936,109850,45-49,F,16,top,"(48,13)"
738592,936,109850,45-49,F,16,top,"(34,11)"
738592,936,109850,45-49,F,16,top,"(58,15)"
738592,936,109850,45-49,F,16,top,"(29,9)"
738592,936,109850,45-49,F,16,top,"(42,11)"
738592,936,109850,45-49,F,16,top,"(59,10)"
738592,936,109850,45-49,F,16,top,"(35,13)"
738592,936,109850,45-49,F,16,top,"(46,10)"
738592,936,109850,45-49,F,16,top,"(50,10)"
738592,936,109850,45-49,F,16,top,"(49,14)"
738592,936,109850,45-49,F,16,top,"(36,13)"
738592,936,109850,45-49,F,16,top,"(40,13)"
738592,936,109850,45-49,F,16,top,"(47,16)"
738592,936,109850,45-49,F,16,top,"(42,13)"
738592,936,109850,45-49,F,16,top,"(35,13)"
738592,936,109850,45-49,F,16,top,"(40,10)"
738592,936,109850,45-49,F,16,top,"(40,11)"
738592,936,109850,45-49,F,16,top,"(53,15)"
738592,936,109850,45-49,F,16,top,"(48,14)"
738592,936,109850,45-49,F,16,top,"(48,13)"
738592,936,109850,45-49,F,16,top,"(37,12)"
738592,936,109850,45-49,F,16,top,"(37,11)"
738592,936,109850,45-49,F,16,top,"(61,11)"
738592,936,109850,45-49,F,16,top,"(44,14)"
738592,936,109850,45-49,F,16,top,"(32,10)"
738592,936,109850,45-49,F,16,top,"(36,10)"
738592,936,109850,45-49,F,16,top,"(42,14)"
738592,936,109850,45-49,F,16,top,"(50,9)"
738592,936,109850,45-49,F,16,top,"(51,14)"
738592,936,109850,45-49,F,16,top,"(35,13)"
738592,936,109850,45-49,F,16,top,"(53,12)"
738592,936,109850,45-49,F,16,top,"(44,12)"
738592,936,109850,45-49,F,16,top,"(30,14)"
738592,936,109850,45-49,F,16,top,"(46,14)"
738592,936,109850,45-49,F,16,top,"(43,12)"
738592,936,109850,45-49,F,16,top,"(59,9)"
738592,936,109850,45-49,F,16,top,"(72,12)"
738592,936,109850,45-49,F,16,top,"(41,11)"
738592,936,109850,45-49,F,16,top,"(59,12)"
738592,936,109850,45-49,F,16,top,"(53,10)"
738592,936,109850,45-49,F,16,top,"(32,10)"
738592,936,109850,45-49,F,16,top,"(36,10)"
738592,936,109850,45-49,F,16,top,"(57,13)"
738592,936,109850,45-49,F,16,top,"(49,13)"
738592,936,109850,45-49,F,16,top,"(40,12)"
738592,936,109850,45-49,F,16,top,"(35,12)"
738592,936,109850,45-49,F,16,top,"(46,11)"
738592,936,109850,45-49,F,16,top,"(29,17)"
738592,936,109850,45-49,F,16,top,"(49,10)"
738592,936,109850,45-49,F,16,top,"(61,9)"
738592,936,109850,45-49,F,16,top,"(52,14)"
738592,936,109850,45-49,F,16,top,"(69,10)"
738592,936,109850,45-49,F,16,top,"(66,12)"
738592,936,109850,45-49,F,16,top,"(37,15)"
738592,936,109850,45-49,F,16,top,"(39,14)"
738592,936,109850,45-49,F,16,top,"(59,13)"
738592,936,109850,45-49,F,16,top,"(61,12)"
738592,936,109850,45-49,F,16,top,"(34,10)"
738592,936,109850,45-49,F,16,top,"(59,11)"
738592,936,109850,45-49,F,16,top,"(48,14)"
738592,936,109850,45-49,F,16,top,"(57,9)"
738592,936,109850,45-49,F,16,top,"(52,12)"
738592,936,109850,45-49,F,16,top,"(41,10)"
738592,936,109850,45-49,F,16,top,"(45,12)"
738592,936,109850,45-49,F,16,top,"(57,10)"
